stock_type,year,model,trim,price,mileage,dealer_name,city_state,finance_estimate,scraped_at
New,2025,Mazda,CX-50 Hybrid Premium Plus,"$42,385",N/A,Mazda of Everett,"Everett, WA (6 mi.)",Est. $798/mo*,2025-04-07 21:01:27
New,2025,Mazda,CX-50 Hybrid Premium Plus Package,"$42,735",N/A,Mazda of Everett,"Everett, WA (6 mi.)",Est. $805/mo*,2025-04-07 21:01:27
New,2025,BMW 550e xDrive,Base,"$86,275",N/A,BMW of Bellevue,"Bellevue, WA (16 mi.)","Est. $1,625/mo*",2025-04-07 21:01:27
New,2025,Polestar 3,Base,"$86,900",N/A,Polestar Bellevue,"Bellevue, WA (17 mi.)","Est. $1,637/mo*",2025-04-07 21:01:27
New,2025,Polestar 3,Base,"$86,900",N/A,Polestar Bellevue,"Bellevue, WA (17 mi.)","Est. $1,637/mo*",2025-04-07 21:01:27
New,2025,Polestar 3,Base,"$90,400",N/A,Polestar Bellevue,"Bellevue, WA (17 mi.)","Est. $1,703/mo*",2025-04-07 21:01:27
New,2025,Polestar 3,Base,"$80,600",N/A,Polestar Bellevue,"Bellevue, WA (17 mi.)","Est. $1,518/mo*",2025-04-07 21:01:27
New,2025,Polestar 3,Base,"$75,500",N/A,Polestar Bellevue,"Bellevue, WA (17 mi.)","Est. $1,422/mo*",2025-04-07 21:01:27
New,2024,Polestar 3,Base,"$91,700",N/A,Polestar Bellevue,"Bellevue, WA (17 mi.)","Est. $1,728/mo*",2025-04-07 21:01:28
New,2025,Polestar 3,Base,"$91,700",N/A,Polestar Bellevue,"Bellevue, WA (17 mi.)","Est. $1,728/mo*",2025-04-07 21:01:28
New,2025,Polestar 3,Base,"$86,900",N/A,Polestar Bellevue,"Bellevue, WA (17 mi.)","Est. $1,637/mo*",2025-04-07 21:01:28
New,2025,Polestar 3,Base,"$91,700",N/A,Polestar Bellevue,"Bellevue, WA (17 mi.)","Est. $1,728/mo*",2025-04-07 21:01:28
New,2025,Polestar 3,Base,"$86,900",N/A,Polestar Bellevue,"Bellevue, WA (17 mi.)","Est. $1,637/mo*",2025-04-07 21:01:28
New,2025,Polestar 3,Base,"$73,400",N/A,Polestar Bellevue,"Bellevue, WA (17 mi.)","Est. $1,383/mo*",2025-04-07 21:01:28
New,2025,Polestar 3,Base,"$86,200",N/A,Polestar Bellevue,"Bellevue, WA (17 mi.)","Est. $1,624/mo*",2025-04-07 21:01:28
New,2025,Polestar 3,Base,"$86,900",N/A,Polestar Bellevue,"Bellevue, WA (17 mi.)","Est. $1,637/mo*",2025-04-07 21:01:28
New,2025,Polestar 3,Base,"$86,900",N/A,Polestar Bellevue,"Bellevue, WA (17 mi.)","Est. $1,637/mo*",2025-04-07 21:01:28
New,2024,Polestar 3,Base,"$85,700",N/A,Polestar Bellevue,"Bellevue, WA (17 mi.)","Est. $1,615/mo*",2025-04-07 21:01:28
New,2025,Polestar 3,Base,"$69,300",N/A,Polestar Bellevue,"Bellevue, WA (17 mi.)","Est. $1,306/mo*",2025-04-07 21:01:28
New,2025,Polestar 3,Base,"$87,000",N/A,Polestar Bellevue,"Bellevue, WA (17 mi.)","Est. $1,639/mo*",2025-04-07 21:01:28
